ID,Assunto,IP Origem,Notificado em,Status,Tipo
5962044,Host com o serviço SMB vulnerável,143.54.110.147,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962046,Host com o serviço SMB vulnerável,143.54.41.101,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962047,Host com o serviço SMB vulnerável,143.54.210.116,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962050,Host com o serviço SMB vulnerável,143.54.139.235,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962051,Host com o serviço SMB vulnerável,143.54.241.61,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962052,Host com o serviço SMB vulnerável,143.54.112.67,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962053,Host com o serviço SMB vulnerável,143.54.211.193,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962054,Host com o serviço SMB vulnerável,143.54.220.170,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962055,Host com o serviço SMB vulnerável,143.54.46.227,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962056,Host com o serviço SMB vulnerável,143.54.236.168,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962057,Host com o serviço SMB vulnerável,143.54.121.181,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962058,Host com o serviço SMB vulnerável,143.54.253.24,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962059,Host com o serviço SMB vulnerável,143.54.252.169,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962060,Host com o serviço SMB vulnerável,143.54.255.58,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962061,Host com o serviço SMB vulnerável,143.54.188.146,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962066,Host com o serviço SMB vulnerável,143.54.244.199,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962067,Host com o serviço SMB vulnerável,143.54.121.193,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962068,Host com o serviço SMB vulnerável,143.54.254.108,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962070,Host com o serviço SMB vulnerável,143.54.197.167,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962074,Host com o serviço SMB vulnerável,143.54.252.246,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962102,Host com o serviço SMB vulnerável,143.54.201.86,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962103,Host com o serviço SMB vulnerável,143.54.201.17,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962104,Host com o serviço SMB vulnerável,143.54.149.147,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962105,Host com o serviço SMB vulnerável,143.54.240.226,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962106,Host com o serviço SMB vulnerável,143.54.188.155,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962107,Host com o serviço SMB vulnerável,143.54.1.147,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962108,Host com o serviço SMB vulnerável,143.54.113.34,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962109,Host com o serviço SMB vulnerável,143.54.148.105,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962110,Host com o serviço SMB vulnerável,143.54.120.220,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962111,Host com o serviço SMB vulnerável,143.54.31.14,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962112,Host com o serviço SMB vulnerável,143.54.2.148,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962157,Host com o serviço SMB vulnerável,143.54.211.32,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962158,Host com o serviço SMB vulnerável,143.54.252.36,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962159,Host com o serviço SMB vulnerável,143.54.248.145,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962160,Host com o serviço SMB vulnerável,143.54.108.230,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962161,Host com o serviço SMB vulnerável,143.54.190.34,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
5962162,Host com o serviço SMB vulnerável,143.54.110.62,2024-05-16 03:25:27+00:00,Resolvido,Acesso Indevido-Vazamento/SMB
